what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.7",1338899556529
java.vendor,sysinfo,,,"Oracle Corporation",1338899556529
java.version,sysinfo,,,"1.7.0_04",1338899556529
java.vm.info,sysinfo,,,"mixed mode",1338899556529
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338899556529
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338899556529
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338899556529
java.vm.specification.version,sysinfo,,,"1.7",1338899556529
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338899556529
java.vm.version,sysinfo,,,"23.0-b21",1338899556529
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1338899556848
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1338899556930
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1338899556938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899557194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899583037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899583167
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338899936300
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338899936331
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1338899936472
error,log,,,"DDMS files not found: /home/luiz-varela/android-sdks/platform-tools/adb /home/luiz-varela/android-sdks/tools/hprof-conv /home/luiz-varela/android-sdks/tools/traceview ",1338899936566
error,log,,,"DDMS files not found: /home/luiz-varela/android-sdks/platform-tools/adb /home/luiz-varela/android-sdks/tools/hprof-conv /home/luiz-varela/android-sdks/tools/traceview ",1338899936566
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1338899936577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899936582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899937180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899939672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899942447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899945139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899950205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899951708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338899999195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900007903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900059637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900114939
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900116512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900118115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900119480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900123696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900128757
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900164183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900166068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900167428
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900173613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900215466
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1338900217678
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1338900218736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900221105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900223607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900226509
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338900227932
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338900228242
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338900228246
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1338900228389
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1338900228390
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1338900228390
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1338900228390
